title,location,url,startdate,enddate,type,price,solddate
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B9,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST C3,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST C1,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST C2,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST C4,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST C5,"8,000",
HARRY POTTER AND THE SORCERER'S STONE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,https://www.ticketmelon.com/thecommonsthonglor/sunset-film-club-jan-6,2024-01-06,2024-01-06,Ticket + Poppa's Popcorn & Todd's Butter Beer,350,
FLY BY MIDNIGHT ANEMOIA ASIA TOUR,"The Bee, Publika",https://www.ticketmelon.com/rklive/flybymidnight,2024-01-06,2024-01-06,EARLY BIRD,189,2023-12-29
FLY BY MIDNIGHT ANEMOIA ASIA TOUR,"The Bee, Publika",https://www.ticketmelon.com/rklive/flybymidnight,2024-01-06,2024-01-06,GENERAL SALE,213,
FLY BY MIDNIGHT ANEMOIA ASIA TOUR,"The Bee, Publika",https://www.ticketmelon.com/rklive/flybymidnight,2024-01-06,2024-01-06,VIP EXPERIENCE,541,
FLY BY MIDNIGHT ANEMOIA ASIA TOUR,"The Bee, Publika",https://www.ticketmelon.com/rklive/flybymidnight,2024-01-06,2024-01-06,VIP UPGRADE,328,
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,PLATINUM,"2,999",
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,GOLD,"1,999",
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,SILVER,999,
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,PLATINUM: 1-Day Pass,"1,999",
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,GOLD: 1-Day Pass,"1,499",
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,SILVER: 1-Day Pass,799,
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,Ticket Upgrade: SILVER TO GOLD,"1,500",
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,Ticket Upgrade: SILVER TO PLATINUM,"2,500",
Circus Music Festival 3,Circuit Makati Event Grounds,https://www.ticketmelon.com/circus-music-festival/c-m-f-3,2024-01-06,2024-01-07,Ticket Upgrade: GOLD TO PLATINUM,"2,000",
Fun Run Music,สวนพุทธมณฑล สาย4,https://www.ticketmelon.com/funrunandmusic/newyear2024,2024-01-07,2024-01-07,Fun Run 3K,"1,000",
Fun Run Music,สวนพุทธมณฑล สาย4,https://www.ticketmelon.com/funrunandmusic/newyear2024,2024-01-07,2024-01-07,Fun Run 5K,"1,000",
Fun Run Music,สวนพุทธมณฑล สาย4,https://www.ticketmelon.com/funrunandmusic/newyear2024,2024-01-07,2024-01-07,Mini Marathon 10K,"1,000",
Fun Run Music,สวนพุทธมณฑล สาย4,https://www.ticketmelon.com/funrunandmusic/newyear2024,2024-01-07,2024-01-07,VIP,"2,000",
DEPT ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,https://www.ticketmelon.com/banpuen/dept-2024,2024-01-09,2024-01-09,EARLY BIRD,999,
DEPT ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,https://www.ticketmelon.com/banpuen/dept-2024,2024-01-09,2024-01-09,NORMAL,"1,200",
DEPT ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,https://www.ticketmelon.com/banpuen/dept-2024,2024-01-09,2024-01-09,VIP,"2,400",
DEPT ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,https://www.ticketmelon.com/banpuen/dept-2024,2024-01-09,2024-01-09,VVIP,"4,500",
LIDO LIVEHOUSE presents 'YENTED & PLASUI PLASUI',Lido Connect,https://www.ticketmelon.com/lido-livehouse/llhjan24,2024-01-12,2024-01-12,Standing Ticket [12 Jan],600,
BEAMCUBE Soft Launch with Paula Tape,"BEAMCUBE, Mahanakorn Cube",https://www.ticketmelon.com/beamclub/beamcube-paulatape,2024-01-12,2024-01-12,ONLINE,600,
BEAMCUBE Soft Launch with Paula Tape,"BEAMCUBE, Mahanakorn Cube",https://www.ticketmelon.com/beamclub/beamcube-paulatape,2024-01-12,2024-01-12,AT DOOR TICKETS,800,
SUBCAMP 2024,Bla Bla Camp,https://www.ticketmelon.com/gonjahifi/subcamp2024,2024-01-13,2024-01-13,FULL PASS*,600,
SUBCAMP 2024,Bla Bla Camp,https://www.ticketmelon.com/gonjahifi/subcamp2024,2024-01-13,2024-01-13,ONE DAY PASS*,420,
เผยตัวตนทางศิลปะ Artistic Emergence,Saratta Space,https://www.ticketmelon.com/sarattaspace/artistic-emergence,2024-01-13,2024-01-13,,,
ซัดมาด-SETMILD,GREEN CAMP NAKHON NAYOK,https://www.ticketmelon.com/setmild/selinaandsirinya,2024-01-13,2024-01-13,บัตรงานซัดมาด,"1,400",
101 DALMATIANS Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,https://www.ticketmelon.com/thecommonsthonglor/sunset-film-club-jan-13,2024-01-13,2024-01-13,Ticket + Poppa's Popcorn & Drink,350,
YONLAPA : LINGERING GLOAMING CONCERT,Lido Connect (L2),https://www.ticketmelon.com/sss/yonlapa,2024-01-13,2024-01-13,Tickets,790,
 Sinful House Presents - The.Chao.Phraya - Swinger Lifestyle Cruise,Asiatique The Riverfront,https://www.ticketmelon.com/sinfulhouse/thechaophraya,2024-01-13,2024-01-13,Single Ticket,"2,500",
 Sinful House Presents - The.Chao.Phraya - Swinger Lifestyle Cruise,Asiatique The Riverfront,https://www.ticketmelon.com/sinfulhouse/thechaophraya,2024-01-13,2024-01-13,Couples Ticket,"4,500",
Enchanted VIP ,Differ Club Pattaya,https://www.ticketmelon.com/enchantedvip/chilee,2024-01-13,2024-01-13,2FAST2FURIOUS,300,
𝔖hape𝔖hifter :L͓̽C͓̽L͓̽: NEMATOCYST : FITNESSS,Unformat Studio,https://www.ticketmelon.com/sathonchainsaw/lcl,2024-01-13,2024-01-16,Earlybird,800,
𝔖hape𝔖hifter :L͓̽C͓̽L͓̽: NEMATOCYST : FITNESSS,Unformat Studio,https://www.ticketmelon.com/sathonchainsaw/lcl,2024-01-13,2024-01-16,Door,"1,100",
𝔖hape𝔖hifter :L͓̽C͓̽L͓̽: NEMATOCYST : FITNESSS,Unformat Studio,https://www.ticketmelon.com/sathonchainsaw/lcl,2024-01-13,2024-01-16,FITNESSS:ASD Sound Design Workshop + Performance,"2,500",
Mortiferum Live in Bangkok 2024,Mr Fox Livehouse ,https://www.ticketmelon.com/loudlyprefer/mortiferum-live-in-bkk-2024,2024-01-14,2024-01-14,Early bird,"1,000",
Mortiferum Live in Bangkok 2024,Mr Fox Livehouse ,https://www.ticketmelon.com/loudlyprefer/mortiferum-live-in-bkk-2024,2024-01-14,2024-01-14,Pre sale,"1,200",
คอนเสิร์ตประจำปีชมรมขับร้องประสานเสียง ครั้งที่ 8,ชั้น 2 อาคารเรียนและปฏิบัติการ 50 ปี คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,https://www.ticketmelon.com/medcmuchorus/its24degreesoutside,2024-01-14,2024-01-14,บัตรเข้างานคอนเสิร์ต,159,
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,https://www.ticketmelon.com/bondbondlive/ozcarwangliveinbangkok2024,2024-01-14,2024-01-14,VIP,"5,500",
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,https://www.ticketmelon.com/bondbondlive/ozcarwangliveinbangkok2024,2024-01-14,2024-01-14,Zone A,"3,800",
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,https://www.ticketmelon.com/bondbondlive/ozcarwangliveinbangkok2024,2024-01-14,2024-01-14,Zone B,"2,800",
Selina & Sirinya Live in Bangkok 2024 ,BACC,https://www.ticketmelon.com/comeearsbkk/selinaandsirinya-live-in-bangkok-2024,2024-01-16,2024-01-16,ZONE A,"1,500",
Selina & Sirinya Live in Bangkok 2024 ,BACC,https://www.ticketmelon.com/comeearsbkk/selinaandsirinya-live-in-bangkok-2024,2024-01-16,2024-01-16,Zone B,"1,200",
Tales and Tunes: Music from the Screen and Stage ,Goethe-Institut Thailand,https://www.ticketmelon.com/talesandtunesconcert/music-from-the-screen-and-stage,2024-01-17,2024-01-17,Tales and Tunes: Music from the Screen and Stage,"1,000",
Tales and Tunes: Music from the Screen and Stage ,Goethe-Institut Thailand,https://www.ticketmelon.com/talesandtunesconcert/music-from-the-screen-and-stage,2024-01-17,2024-01-17,Tales and Tunes: Music from the Screen and Stage  (STUDENT TICKET),500,
Selina and Sirinya at 12 Plato Bangna,12 Plato Brewing ภายในโครงการ โรงแรมโอไรออน บางนา,https://www.ticketmelon.com/12plato/selina-and-sirinya-at-12plato-bangna,2024-01-18,2024-01-18,Early Bird Ticket,777,Sales Ended
Selina and Sirinya at 12 Plato Bangna,12 Plato Brewing ภายในโครงการ โรงแรมโอไรออน บางนา,https://www.ticketmelon.com/12plato/selina-and-sirinya-at-12plato-bangna,2024-01-18,2024-01-18,Lazy Bird Ticket,888,
Selina and Sirinya at 12 Plato Bangna,12 Plato Brewing ภายในโครงการ โรงแรมโอไรออน บางนา,https://www.ticketmelon.com/12plato/selina-and-sirinya-at-12plato-bangna,2024-01-18,2024-01-18,Regular Ticket,999,
Ligor Spirit Festival 2024,Greenspace Living ,https://www.ticketmelon.com/ligorspirit/ligor-spirit-festival-2023,2024-01-18,2024-01-21,Early bird ticket phase 1,"2,500",
Ligor Spirit Festival 2024,Greenspace Living ,https://www.ticketmelon.com/ligorspirit/ligor-spirit-festival-2023,2024-01-18,2024-01-21,Early bird ticket phase 2,"2,800",
SISB Fest,SISB,https://www.ticketmelon.com/sisbfest/sisbfest2024,2024-01-19,2024-01-19,Early Bird,800,
SISB Fest,SISB,https://www.ticketmelon.com/sisbfest/sisbfest2024,2024-01-19,2024-01-19,Standard,"1,200",
SISB Fest,SISB,https://www.ticketmelon.com/sisbfest/sisbfest2024,2024-01-19,2024-01-19,VIP Standing,"1,500",
SISB Fest,SISB,https://www.ticketmelon.com/sisbfest/sisbfest2024,2024-01-19,2024-01-19,VIP Seating,"2,000",
LA Festival 7 (Love Disadster),"Faculty of Liberal Arts, Mahidol University ",https://www.ticketmelon.com/la-festival-7-love-disadster/la-festival-7,2024-01-19,2024-01-19,Regular Tickets,350,
Jey (Jung Jinhyeong) in Bangkok ,Lido Connect Hall 2,https://www.ticketmelon.com/cultofya/jeyinbangkok,2024-01-19,2024-01-19,VIP,"3,300",
Jey (Jung Jinhyeong) in Bangkok ,Lido Connect Hall 2,https://www.ticketmelon.com/cultofya/jeyinbangkok,2024-01-19,2024-01-19,Early Entry,"1,500",
Jey (Jung Jinhyeong) in Bangkok ,Lido Connect Hall 2,https://www.ticketmelon.com/cultofya/jeyinbangkok,2024-01-19,2024-01-19,General,"1,000",
"SUMMER SOUND CLUB NIGHT W' BALDO (SUBWAX, BCN)",NEVER NORMAL BKK,https://www.ticketmelon.com/conflakes/summersound-baldo,2024-01-19,2024-01-19,early bird,400,
"SUMMER SOUND CLUB NIGHT W' BALDO (SUBWAX, BCN)",NEVER NORMAL BKK,https://www.ticketmelon.com/conflakes/summersound-baldo,2024-01-19,2024-01-19,regular ticket,600,
"SUMMER SOUND CLUB NIGHT W' BALDO (SUBWAX, BCN)",NEVER NORMAL BKK,https://www.ticketmelon.com/conflakes/summersound-baldo,2024-01-19,2024-01-19,at door,800,
Out Of The World Water & Music Festival 2.0,"KL BASE, SUNGAI BESI",https://www.ticketmelon.com/genesisent/ootw2,2024-01-19,2024-01-21,,,
Phangan ROCKFEST 2024,Phangan Rock Place,https://www.ticketmelon.com/phanganrockfest/phangan-rockfest-2024,2024-01-19,2024-01-27,2 DAY TICKET,"1,000",
Phangan ROCKFEST 2024,Phangan Rock Place,https://www.ticketmelon.com/phanganrockfest/phangan-rockfest-2024,2024-01-19,2024-01-27,ULTIMATE GOLD PASS- FESTIVAL AND TOUR,"1,500",
Phangan ROCKFEST 2024,Phangan Rock Place,https://www.ticketmelon.com/phanganrockfest/phangan-rockfest-2024,2024-01-19,2024-01-27,Day 1 ONLY,600,
Phangan ROCKFEST 2024,Phangan Rock Place,https://www.ticketmelon.com/phanganrockfest/phangan-rockfest-2024,2024-01-19,2024-01-27,Day 2 ONLY,700,
The Journey of Kati’s Happiness 20 ปี การเดินทางของความสุขไม่รู้จบ,ลานริมน้ำ บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),https://www.ticketmelon.com/amarin-publishing/the-journey-of-kati-happiness,2024-01-20,2024-01-20,ผู้ที่สนใจ,Free,
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,Regular,599,
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,Camping โซโล่เดี่ยว,"1,990",
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,Camping คู่ซี้ & หวานใจ,"3,800",
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,Camping ชาวแก๊ง,"7,590",
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,VIP,"4,500",
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,VVIP,"15,000",
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,https://www.ticketmelon.com/lopburimusicfestival/lopburimusicfestival2023,2024-01-20,2024-01-20,VVIP พร้อมที่พัก,"18,990",
INSOMNIA LIVE IN SALAYA 2024,มหิดล ศาลายา,https://www.ticketmelon.com/insomnia2024/0d831cec72ea11ee915501117567899b,2024-01-20,2024-01-20,Portfolio 1/2 (Early bird),339,Sales Ended
INSOMNIA LIVE IN SALAYA 2024,มหิดล ศาลายา,https://www.ticketmelon.com/insomnia2024/0d831cec72ea11ee915501117567899b,2024-01-20,2024-01-20,Admission 3 (Regular),399,
COME BACK ANYTIME Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,https://www.ticketmelon.com/thecommonsthonglor/sunset-film-club-jan-20,2024-01-20,2024-01-20,Ticket + Poppa's Popcorn & Drink,350,2023-12-29
0WAVE in Bangkok,Lido Connect Hall 2,https://www.ticketmelon.com/cultofya/0waveinbangkok,2024-01-20,2024-01-20,General,"1,000",2023-12-29
0WAVE in Bangkok,Lido Connect Hall 2,https://www.ticketmelon.com/cultofya/0waveinbangkok,2024-01-20,2024-01-20,VIP,"3,300",
เฟี้ยวติวัล เชียงราย,ลานกาสะลอง 2 เซ็นทรัลเชียงราย,https://www.ticketmelon.com/fiewtival/fiewtival-chiangrai-2024,2024-01-20,2024-01-20,บัตร : 20 ปี,Free,
เฟี้ยวติวัล เชียงราย,ลานกาสะลอง 2 เซ็นทรัลเชียงราย,https://www.ticketmelon.com/fiewtival/fiewtival-chiangrai-2024,2024-01-20,2024-01-20,บัตร : 21 ปีขึ้นไป,199,
เฟี้ยวติวัล เชียงราย,ลานกาสะลอง 2 เซ็นทรัลเชียงราย,https://www.ticketmelon.com/fiewtival/fiewtival-chiangrai-2024,2024-01-20,2024-01-20,บัตร : 21 ปีขึ้นไป (มา 4 จ่าย 3 : ราคา 597 บาท),149,
Retox Sessions Presents James Hype At Onyx ,Onyx,https://www.ticketmelon.com/retoxsessions/jameshype,2024-01-20,2024-01-20,GA - Early Bird,800,2023-12-29
Retox Sessions Presents James Hype At Onyx ,Onyx,https://www.ticketmelon.com/retoxsessions/jameshype,2024-01-20,2024-01-20,GA - Pre-Sale,850,
เฟี้ยวติวัล 2024,10 จังหวัด 10 สถานที่,https://www.ticketmelon.com/fiewtival/fiewtival2024,2024-01-20,2024-05-19,,,
Gathering in the glen : ซักแดด,ทุ่งเลี้ยงควายลุงตา,https://www.ticketmelon.com/velayen/getsomesun-catchsomerays,2024-01-21,2024-01-21,ซักแดด,"1,000",
LAN DOK MAI ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,https://www.ticketmelon.com/banpuen/landokmai-2024,2024-01-25,2024-01-25,VVIP,"1,200",2023-12-29
LAN DOK MAI ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,https://www.ticketmelon.com/banpuen/landokmai-2024,2024-01-25,2024-01-25,VIP,500,2023-12-29
KUNSTLER : The Public 26 JAN 24,SERMSUK WAREHOUSE,https://www.ticketmelon.com/kunstler/9190c4bf7d4111ee922201117567899b,2024-01-26,2024-01-26,26 JAN Early bird (One day pass),250,Sales Ended
KUNSTLER : The Public 26 JAN 24,SERMSUK WAREHOUSE,https://www.ticketmelon.com/kunstler/9190c4bf7d4111ee922201117567899b,2024-01-26,2024-01-26,26 JAN Regular (One day pass),390,
เฟี้ยวติวัล อุดรธานี,ลานเดอะแลนด์ ศูนย์การค้ายูดี ทาวน์ อุดรธานี,https://www.ticketmelon.com/fiewtival/fiewtival-udonthani-2024,2024-01-26,2024-01-26,บัตร : 20 ปี,Free,
เฟี้ยวติวัล อุดรธานี,ลานเดอะแลนด์ ศูนย์การค้ายูดี ทาวน์ อุดรธานี,https://www.ticketmelon.com/fiewtival/fiewtival-udonthani-2024,2024-01-26,2024-01-26,บัตร : 21 ปีขึ้นไป,199,
เฟี้ยวติวัล อุดรธานี,ลานเดอะแลนด์ ศูนย์การค้ายูดี ทาวน์ อุดรธานี,https://www.ticketmelon.com/fiewtival/fiewtival-udonthani-2024,2024-01-26,2024-01-26,บัตร : 21 ปีขึ้นไป (มา 4 จ่าย 3 : ราคา 597 บาท),149,
Retox Sessions Presents Joseph Capriati ,EDEN,https://www.ticketmelon.com/retoxsessions/josephcapriati,2024-01-26,2024-01-26,GA - Pre-Event Ticket,850,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,SUPER EB GA (2 DAYS PASS),150,2023-12-29
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,SUPER EB VIP (2 DAYS PASS),250,2023-12-29
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA EARLY BIRD (2 DAYS PASS),320,2023-12-29
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA PHASE 1 (2 DAYS PASS),350,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP EARLY BIRD (2 DAYS PASS),420,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA PHASE 1 (1 DAY PASS) (FRIDAY),220,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA PHASE 1 (1 DAY PASS) (SATURDAY),220,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP PHASE 1 (1 DAY PASS) (FRIDAY),270,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP PHASE 1 (1 DAY PASS) (SATURDAY),270,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA PHASE 2 (2 DAYS PASS),380,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP PHASE 1 (2 DAYS PASS),450,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP PHASE 2 (2 DAYS PASS),480,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA PHASE 2 (1 DAY PASS) (FRIDAY),260,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,GA PHASE 2 (1 DAY PASS) (SATURDAY),260,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP PHASE 2 (1 DAY PASS) (FRIDAY),310,
KLWP 3.0,KL BASE SG BESI,https://www.ticketmelon.com/klwp/30,2024-01-26,2024-01-27,VIP PHASE 2 (1 DAY PASS) (SATURDAY),310,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,3-Day Pass I Black Cat Package,"4,000",Sales Ended
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,1-Day Pass I Day & Night I 26 January 2024,"1,050",
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,1-Day Pass I Day & Night I 27 January 2024,"1,050",
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,1-Day Pass I Day & Night I 28 January 2024,"1,050",
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Day (Workshop) I 26 January 2024 I General Admission,500,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Day (Workshop) I 27 January 2024 I General Admission,500,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Day (Workshop) I 28 January 2024 I General Admission,500,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,"Session Pass I Day (Workshop) I 26 January 2024 I Student, Music Lover Card",400,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,"Session Pass I Day (Workshop) I 27 January 2024 I Student, Music Lover Card",400,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,"Session Pass I Day (Workshop) I 28 January 2024 I Student, Music Lover Card",400,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Night (Concert) I 26 January 2024 I General Admission,"1,000",
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Night (Concert) I 27 January 2024 I General Admission,"1,000",
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Night (Concert) I 28 January 2024 I General Admission,"1,000",
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,"Session Pass I Night (Concert) I 26 January 2024 I Student, Music Lover Card",800,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,"Session Pass I Night (Concert) I 27 January 2024 I  Student, Music Lover Card",800,
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",https://www.ticketmelon.com/mahidolmusic/tijc2024,2024-01-26,2024-01-28,Session Pass I Night (Concert) I 28 January 2024 I Student and Music Lover Card,800,
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Early Bird,"1,200",
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package A (2 Nights),"6,240",2023-12-29
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package B (2 Nights),"6,560",
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package C (2 Nights),"12,400",
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package D (2 Night),"14,000",
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package E (1Night),"4,320",2023-12-29
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package F (1 Night),"4,480",2023-12-29
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package G (1 Night),"8,000",2023-12-29
BEATFOREST 2024,Bonanza,https://www.ticketmelon.com/beatforest/beatforest,2024-01-27,2024-01-27,Package H (1 Night),"8,800",
KUNSTLER : The Public 27 JAN 24,SERMSUK WAREHOUSE,https://www.ticketmelon.com/kunstler/the-public,2024-01-27,2024-01-27,27 JAN Early bird (One day pass),250,Sales Ended
KUNSTLER : The Public 27 JAN 24,SERMSUK WAREHOUSE,https://www.ticketmelon.com/kunstler/the-public,2024-01-27,2024-01-27,27 JAN Regular (One day pass),390,
