title,location,url,startdate,enddate,type,price,solddate
HEART MEGA CLUB,"MEGA CLUB, Sphere Hall, 5F, EMSPHERE",https://www.ticketmelon.com/emsphere/heart-mega-club,2023-12-29,2023-12-31,31 Dec 23 Ticket,Free,
Waves,Yodpiman Riverwalk,https://www.ticketmelon.com/bangkokisland/waves2,2023-12-30,2023-12-30,Free Ticket,Free,
TLT Presents Super8 & Tab,Amnesia,https://www.ticketmelon.com/tlt/super8tab,2023-12-30,2023-12-30,Early Bird,550,
TLT Presents Super8 & Tab,Amnesia,https://www.ticketmelon.com/tlt/super8tab,2023-12-30,2023-12-30,Phase 1,650,
TLT Presents Super8 & Tab,Amnesia,https://www.ticketmelon.com/tlt/super8tab,2023-12-30,2023-12-30,Phase 2,750,
TLT Presents Super8 & Tab,Amnesia,https://www.ticketmelon.com/tlt/super8tab,2023-12-30,2023-12-30,At Door,900,
2023 NAM WOO HYUN CONCERT 〈ARBOR DAY 3－WHITREE〉,Live Streaming,https://www.ticketmelon.com/hellolive/nam-woo-hyun-concert,2023-12-30,2023-12-31,DAY.1 LIVE PACK,977,Sales Ended
2023 NAM WOO HYUN CONCERT 〈ARBOR DAY 3－WHITREE〉,Live Streaming,https://www.ticketmelon.com/hellolive/nam-woo-hyun-concert,2023-12-30,2023-12-31,DAY.1 VIP PACK,"1,309",Sales Ended
2023 NAM WOO HYUN CONCERT 〈ARBOR DAY 3－WHITREE〉,Live Streaming,https://www.ticketmelon.com/hellolive/nam-woo-hyun-concert,2023-12-30,2023-12-31,DAY.2 LIVE PACK,977,Sales Ended
2023 NAM WOO HYUN CONCERT 〈ARBOR DAY 3－WHITREE〉,Live Streaming,https://www.ticketmelon.com/hellolive/nam-woo-hyun-concert,2023-12-30,2023-12-31,DAY.2 VIP PACK,"1,309",Sales Ended
2023 NAM WOO HYUN CONCERT 〈ARBOR DAY 3－WHITREE〉,Live Streaming,https://www.ticketmelon.com/hellolive/nam-woo-hyun-concert,2023-12-30,2023-12-31,ALL PASS PACK,"2,165",Sales Ended
เทศกาลดนตรี อบจ. ราชบุรี ,ณ อ่างเก็บน้ำชัฎป่าหวาย อ.สวนผึ้ง จ.ราชบุรี,https://www.ticketmelon.com/ratchaburi/music-ratchaburi,2023-12-30,2023-12-31,บัตรเข้างาน,Free,
Sol-a-sol Festival,Selina Serenity Rawai,https://www.ticketmelon.com/selinaserenityresortrawaiphuket/sol-a-sol,2023-12-31,2023-12-31,Party Only Pass,"2,500",
Sol-a-sol Festival,Selina Serenity Rawai,https://www.ticketmelon.com/selinaserenityresortrawaiphuket/sol-a-sol,2023-12-31,2023-12-31,Party Only Pass,"3,000",
Sol-a-sol Festival,Selina Serenity Rawai,https://www.ticketmelon.com/selinaserenityresortrawaiphuket/sol-a-sol,2023-12-31,2023-12-31,Sol-a-sol Full Access,"4,700",
Sol-a-sol Festival,Selina Serenity Rawai,https://www.ticketmelon.com/selinaserenityresortrawaiphuket/sol-a-sol,2023-12-31,2023-12-31,Youth Pass,"2,400",
NYE 2024,A Blanket & A Pillow,https://www.ticketmelon.com/no-more-snow/nye2024,2023-12-31,2023-12-31,Early Bird (-50% OFF),"1,000",
"""I Love The 80s"" New Years Eve Party",1-Altitude Melaka,https://www.ticketmelon.com/1-altitude-melaka/altitudemelaka,2023-12-31,2023-12-31,"1-Altitude Presents ""I Love The 80s"" New Years Eve Countdown Party",75,
RIOTNOX THE CRAZIEST NEW YEAR RAVE ,Silom,https://www.ticketmelon.com/riotnox/craziestnewyearrave,2023-12-31,2023-12-31,community,400,Sales Ended
