title,location,url,startdate,enddate,type,price,solddate
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,VIP Ticket: Come 2,"1,118",
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,General Ticket: Come 2,743,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,Special Attention Ticket: Come 2,360,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,VIP Ticket: 5 for 4,954,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,General Ticket: 5 for 4,637,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,Special Attention Ticket: 5 for 4,307,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,VIP Ticket,"1,490",
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,General Ticket,990,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,Special Attention Ticket,480,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,ACRYLIC PAINTING WORDSHOP,990,
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",https://www.ticketmelon.com/liveimpact-event/monetandfriendsalivebangkok,2023-09-22,2024-01-07,ART ON VASE CASE,"1,290",
Enchanted Flora Park,Flora Park,https://www.ticketmelon.com/florapark/enchantedflorapark,2023-11-01,2024-02-29,Regular Ticket 1 Day Pass,250,
Enchanted Flora Park,Flora Park,https://www.ticketmelon.com/florapark/enchantedflorapark,2023-11-01,2024-02-29,Happy Together 5,999,
Enchanted Flora Park,Flora Park,https://www.ticketmelon.com/florapark/enchantedflorapark,2023-11-01,2024-02-29,Unlimited Pass,759,
Enchanted Flora Park,Flora Park,https://www.ticketmelon.com/florapark/enchantedflorapark,2023-11-01,2024-02-29,Regular Ticket 1 Day Pass,250,
Enchanted Flora Park,Flora Park,https://www.ticketmelon.com/florapark/enchantedflorapark,2023-11-01,2024-02-29,Happy Together 5,999,
Enchanted Flora Park,Flora Park,https://www.ticketmelon.com/florapark/enchantedflorapark,2023-11-01,2024-02-29,Unlimited Pass,759,
The Backyard 168: Back to the 90's Campfire Party,"The Backyard 168, Khao Yai",https://www.ticketmelon.com/thebackyard168/the-backyard-168-back-to-the-90s-campfire-party,2023-12-01,2024-02-25,,,
GOODMOOD,Sermsuk Warehouse,https://www.ticketmelon.com/goodhood/goodmood,2023-12-02,2023-12-17,2 DEC: GOODMOOD,390,Sales Ended
