title,location,startdate,enddate,vendor
volare nella musica della danza,"Main Auditorium, Silpakorn University (Wang Tha Pra)",2023-12-02,2023-12-02,Ticketmelon
PUR SANG Soft Launch,"Bar Rouge, Pullman Grande Bangkok Sukhumvit",2023-12-02,2023-12-02,Ticketmelon
SWERVE DIGITAL BOAT PARTY,Yodpiman Riverwalk,2023-12-02,2023-12-02,Ticketmelon
SoundAbout Mountain Fest,Midwinter เขาใหญ่,2023-12-02,2023-12-02,TTM
Young K Solo Concert < Letters with notes > in Bangkok,"แจ้งวัฒนะ ฮอลล์, เซ็นทรัลแจ้งวัฒนะ ชั้น 5.5",2023-12-02,2023-12-02,TTM
STAR FOR YOU MEETING CONCERT,"Ballroom Hall 1-4, ศูนย์ประชุมแห่งชาติสิริกิติ์",2023-12-02,2023-12-02,TTM
ZEROTOZOLAR 1st FANMEETING, Search Studio,2023-12-02,2023-12-02,The Concert
รำวงเฟสติวัล, ลานพาร์คอป พาร์ค,2023-12-02,2023-12-02,The Concert
GOLF-MIKE : BOUNCE TO THE FUTURE CONCERT, IMPACT ARENA,2023-12-02,2023-12-02,The Concert
Singha Corporation presents ZEAL Camp Over 2 ทิ้งตัว With Your Friends, She Sails Cafe & Beach Club จ.ระยอง,2023-12-02,2023-12-02,The Concert
The Concert Presents TesttKub One is 2 many, A Katanyu Comedy Club,2023-12-02,2023-12-02,The Concert
Longlay Beach Life Festival 2023,หาดบางเก่า  ,2023-12-02,2023-12-03,Ticketmelon
DISNEY PRINCESS - THE CONCERT IN BANGKOK,เมืองไทยรัชดาลัย เธียเตอร์,2023-12-02,2023-12-03,TTM
Longlay Beach Life Festival #4, Diamond Beach (Longlay Beach),2023-12-02,2023-12-03,The Concert
Maho Rasop 2023, ESC PARK BANGKOK,2023-12-02,2023-12-03,The Concert
รถตู้รับส่งงาน Maho Rasop 2023, ESC PARK BANGKOK,2023-12-02,2023-12-03,The Concert
Journey Fest | เจอกันนี่ เฟส เชียงใหม่, Journey Fest At The Consul's Garden,2023-12-02,2023-12-03,The Concert
Thailand Phil 2023/24 Season,หอประชุมมหิดลสิทธาคาร มหาวิทยาลัยมหิดลศาลายา,2023-12-02,2024-09-07,TTM
SYNERGY,Bangkok Island,2023-12-03,2023-12-03,Ticketmelon
"Yama 1st ASIA TOUR ""thanks for waiting""",The Portal Ballroom (Muang Thong Thani),2023-12-03,2023-12-03,TTM
Istarwaan Birthday Party, ห้อง Auditorium True Digital Park,2023-12-03,2023-12-03,The Concert
Phuket Cannabis Cup Official After Party, Blue Tree Phuket,2023-12-03,2023-12-03,The Concert
Sound a Brit #6 ( Tribute night ) Part : The New Waves, DECOMMUNE,2023-12-03,2023-12-03,The Concert
Landokmai X Mitr me, หมู่บ้านเวตาล,2023-12-03,2023-12-03,The Concert
COSMOS CON: Space Invasion,Lido Connect Hall 3,2023-12-04,2023-12-04,Ticketmelon
GasolineSrinakarin PRESENT แหลม สมพล, Gasoline Bar - Srinakarin,2023-12-04,2023-12-04,The Concert
LABBfest.2023,Club Carving,2023-12-05,2023-12-05,Ticketmelon
Blueprint Livehouse: VaxMenn + Jesse Mek,Blueprint Livehouse,2023-12-06,2023-12-06,Ticketmelon
FALL OUT BOY LIVE IN BANGKOK 2023,Thunder Dome,2023-12-06,2023-12-06,Ticketmelon
Christmas Big Sing with BMS,Aksra Theatre,2023-12-07,2023-12-07,Ticketmelon
BEHEMOTH : FURY UPON THE EARTH 2023 (Executive club show),Mr.fox,2023-12-08,2023-12-08,Ticketmelon
THE RAMPAGE FAN EVENT IN THAILAND,"EARTHLAB CINEMA BY DR.CBD, SF WORLD CINEMA, CENTRAL WORLD",2023-12-08,2023-12-08,Ticketmelon
Blueprint Livehouse: Petit Desk + Delicious Grapefruits Moon 🇯🇵 + CORNBOI,Blueprint Livehouse,2023-12-08,2023-12-08,Ticketmelon
'Y2QUEER' Millennium Edition,DECOMMUNE,2023-12-08,2023-12-08,Ticketmelon
"Our Friends, The Enemy","Siam Studio, Pattaya",2023-12-08,2023-12-09,Ticketmelon
Jay Chou Carnival World Tour 2023 ' Bangkok,สนามราชมังคลากีฬาสถาน,2023-12-08,2023-12-09,TTM
808 Festival 2023 - GA AND VIP STANDING TICKETS,BITEC Bangna,2023-12-08,2023-12-10,Ticketmelon
808 Festival 2023 - GA AND VIP STANDING TICKETS,BITEC Bangna,2023-12-08,2023-12-10,Ticketmelon
808 Festival 2023 - VVIP Table Packages,BITEC Bangna,2023-12-08,2023-12-10,Ticketmelon
808 Festival 2023 - 1 DAY TICKET ,BITEC Bangna,2023-12-08,2023-12-10,Ticketmelon
MIT CANN CUP 2023, อากาเป้ การ์เด้น,2023-12-08,2023-12-10,The Concert
GOODHOOD VOLUME 04,Sermsuk Warehouse,2023-12-08,2023-12-17,Ticketmelon
Brotherhood Brutality - ASHES SHALL REIGN OVER ASIA TOUR 203,Mr Fox Livehouse ,2023-12-09,2023-12-09,Ticketmelon
