title,location,startdate,enddate,vendor
[LIVE STREAMING] ZeeNuNew 1st Concert | Another Life Presented by Lazada (DAY 1)," Thunder Dome , Muang Thong Thani",2023-09-30,2023-09-30,The Concert
365วัน ฉันรักษ์ทะเล, ซี แซนด์ ซัน หัวหินรีสอร์ท,2023-09-30,2023-09-30,The Concert
KODE YUPP! PARTY 2023 (โคตรยัป! ปาร์ตี้ 2023), Mr.FOX Live House,2023-09-30,2023-09-30,The Concert
"Singha Corporation presents ""SERIOUS BACON โคตรซีเรียส !! CONCERT""", Show DC Hall (MGI Hall),2023-09-30,2023-09-30,The Concert
ตัวพ่อ THE CONCERT, Union Hall @ Union Mall,2023-09-30,2023-09-30,The Concert
“MITSUBISHI ELECTRIC Mr.SLIM Presents NONT EP.02 SO SERIOUS จริงๆจังๆ CONCERT”, IMPACT ARENA,2023-09-30,2023-10-01,The Concert
"Truly, Kulkornpat : A Solo Concert",ศาลาสุทธสิริโสภา (Sala Sudasiri Sobha),2023-09-30,2023-10-14,Ticketmelon
[FANMEETING] Lin Zi Hong 30th birthday fan meeting in Taipei,Live Streaming,2023-10-01,2023-10-01,Ticketmelon
Maestro in a Mug,Goethe-institut,2023-10-01,2023-10-01,Ticketmelon
JUDGMENT NIGHT Vol.2 with SUNAMI,Mr.FOX Livehouse,2023-10-01,2023-10-01,Ticketmelon
Blueprint Livehouse: JIPI + Behind the Smile,Blueprint Livehouse,2023-10-01,2023-10-01,Ticketmelon
THE STELLA ARTOIS presents The Parkinson Heal Soul Concert (รอบบ่าย), Park Hyatt Bangkok Central Embassy,2023-10-01,2023-10-01,The Concert
ZeeNuNew 1st Concert | Another Life Presented by Lazada (DAY 2)," Thunder Dome , Muang Thong Thani",2023-10-01,2023-10-01,The Concert
[LIVE STREAMING] ZeeNuNew 1st Concert | Another Life Presented by Lazada (DAY 2)," Thunder Dome , Muang Thong Thani",2023-10-01,2023-10-01,The Concert
THE STELLA ARTOIS presents The Parkinson Heal Soul Concert, Park Hyatt Bangkok Central Embassy,2023-10-01,2023-10-01,The Concert
Always With Me : Ghibi Instrumental Concert,ศาลาสุทธสิริโสภา (Sala Sudasiri Sobha),2023-10-01,2023-10-22,Ticketmelon
SAM SMITH GLORIA the Tour in Bangkok,อิมแพ็ค อารีน่า,2023-10-03,2023-10-03,TTM
#HYHBKK Live! with FUR : The Farewell Tour,Lido Connect,2023-10-04,2023-10-04,Ticketmelon
Lessons from the Nong Bua Lamphu massacre one year on,FCCThai Clubhouse,2023-10-04,2023-10-04,Ticketmelon
Blueprint Livehouse: MASS OF THE FERMENTING DREGS Live in BKK,Blueprint Livehouse,2023-10-05,2023-10-05,Ticketmelon
Enchanted VIP presents Patrickananda “KAI” Tour. @Boytoys นครปฐม,Boytoys นครปฐม,2023-10-05,2023-10-05,Ticketmelon
COTOBA from Seoul Live in Bangkok,Brownstone,2023-10-06,2023-10-06,Ticketmelon
Tiny Moving Parts Live in Khon Kaen,1/6 Studio,2023-10-06,2023-10-06,Ticketmelon
4B at Onyx,ONYX,2023-10-06,2023-10-06,Ticketmelon
10TPX2YS (DAY 1),DECOMMUNE,2023-10-06,2023-10-06,Ticketmelon
"Charlie Puth Presents The ""Charlie"" Live Experience",อิมแพ็ค อารีน่า เมืองทองธานี,2023-10-06,2023-10-06,TTM
Blueprint Livehouse: _LESS + FORD TRIO,Blueprint Livehouse,2023-10-07,2023-10-07,Ticketmelon
Viu Scream Dates 2023,ยูเนี่ยน ฮอลล์ ชั้น F6 ศูนย์การค้ายูเนี่ยน มอลล์,2023-10-07,2023-10-07,TTM
P1HARMONY LIVE TOUR [P1USTAGE H:P1ONEER] IN BANGKOK,สามย่าน มิตรทาวน์ ฮอลล์,2023-10-07,2023-10-07,TTM
ETC. ชวนมาชิลล์ - Feel the Beach, เซ็นทรา บาย เซ็นทารา ชะอำ บีช รีสอร์ท หัวหิน,2023-10-07,2023-10-07,The Concert
Vitasure Presents PIANO&i The Legends Concert, ไบเทค บางนา,2023-10-07,2023-10-07,The Concert
The Concert presents 4 Queens Concert, Impact Challenger Hall 1,2023-10-07,2023-10-07,The Concert
SneakerLAH 2023,MITEC,2023-10-07,2023-10-08,Ticketmelon
ชุ่ย เดี่ยว เบียร์ Complex,ช่างชุ่ย Creative Park,2023-10-07,2023-10-08,Ticketmelon
2023 LE SSERAFIM TOUR ‘FLAME RISES' IN BANGKOK,ธันเดอร์โดม เมืองทองธานี,2023-10-07,2023-10-08,TTM
Junji Ito Haunted House in Thailand 2023,MBK Center Floor 4,2023-10-07,2023-12-31,TTM
Terra Canta,Yodpiman Riverwalk,2023-10-08,2023-10-08,Ticketmelon
TIMETHAI x CD ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-10-09,2023-10-09,Ticketmelon
หมอลำเฟสติวัล 60 ปี มหาวิทยาลัยขอนแก่น, มหาวิทยาลัย ขอนแก่น ณ ริมบึงสีฐาน,2023-10-09,2023-10-11,The Concert
BUD LIVEHOUSE SPECIAL: SLOT MACHINE 'กว่า... เรา(จะ)มาอย่างสันติ',Lido Connect,2023-10-10,2023-10-10,Ticketmelon
Blueprint Livehouse: FOLK9 + SOFT PINE,Blueprint Livehouse,2023-10-12,2023-10-12,Ticketmelon
"LIDO LIVEHOUSE Presents แก๊ง ชน แก๊ง ""YEW & YELLOW FANG""",Lido Connect,2023-10-13,2023-10-13,Ticketmelon
Blueprint Livehouse: SOLE + Summer Dress,Blueprint Livehouse,2023-10-13,2023-10-13,Ticketmelon
Psychedelic Passion I BKK PsyTrance Night,Castle Thonglor,2023-10-13,2023-10-13,Ticketmelon
Wet & Wild Festival 2023,Columbia Pictures Aquaverse Pattaya,2023-10-14,2023-10-14,Ticketmelon
Lonelipop Music Festival,Khaoyai ,2023-10-14,2023-10-14,Ticketmelon
Pride Cruise Bangkok - Romeo and Diva,Wat Worachanyawas ,2023-10-14,2023-10-14,Ticketmelon
POSTWORLD Real World,DECOMMUNE,2023-10-14,2023-10-14,Ticketmelon
2023 OK TAECYEON in BANGKOK : SpecialTY,MGI HALL (Show DC),2023-10-14,2023-10-14,TTM
2023 KIM JAE JOONG ASIA TOUR CONCERT < J.CON > IN THAILAND,"อิมแพ็ค เอ็กซิบิชั่น ฮอลล์ 5, เมืองทองธานี",2023-10-14,2023-10-14,TTM
Rock Legends by ลุยเล, บ้านไม้บนหาดรีสอร์ท ชะอำ,2023-10-14,2023-10-14,The Concert
