title,location,startdate,enddate,vendor
NEW YEAR’S EVE 2024,Wat Worachanyawas,2023-12-31,2023-12-31,Ticketmelon
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,2023-12-31,2023-12-31,Ticketmelon
🌟✨ DreamForest 2024: A Magical New Year's Celebration 🌲🎆,MoonRock,2023-12-31,2023-12-31,Ticketmelon
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,2023-12-31,2023-12-31,Ticketmelon
NYE at BEAMCUBE with Eddie Leader,"BEAMCUBE, Mahanakorn Cube",2023-12-31,2023-12-31,Ticketmelon
RCB NEW YEAR COUNTDOWN 2024,River City Bangkok,2023-12-31,2023-12-31,Ticketmelon
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",2023-12-31,2024-01-02,Ticketmelon
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,2024-01-02,2024-01-02,Ticketmelon
【She Her Her Hers Live in Bangkok “Diffusion of Responsibility】,-,2024-01-05,2024-01-05,Ticketmelon
COM’Z “THE LSYG EXPLORER” WORLD TOUR,"The Bee, Publika",2024-01-05,2024-01-05,Ticketmelon
Fuchsia Presents Ben Klock,Fuchsia Bangkok,2024-01-05,2024-01-05,Ticketmelon
HARRY POTTER AND THE SORCERER'S STONE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-01-06,2024-01-06,Ticketmelon
FLY BY MIDNIGHT ANEMOIA ASIA TOUR,"The Bee, Publika",2024-01-06,2024-01-06,Ticketmelon
Circus Music Festival 3,Circuit Makati Event Grounds,2024-01-06,2024-01-07,Ticketmelon
Fun Run Music,สวนพุทธมณฑล สาย4,2024-01-07,2024-01-07,Ticketmelon
DEPT ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2024-01-09,2024-01-09,Ticketmelon
SUBCAMP 2024,Bla Bla Camp,2024-01-13,2024-01-13,Ticketmelon
ซัดมาด-SETMILD,GREEN CAMP NAKHON NAYOK,2024-01-13,2024-01-13,Ticketmelon
101 DALMATIANS Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-01-13,2024-01-13,Ticketmelon
YONLAPA : LINGERING GLOAMING CONCERT,Lido Connect (L2),2024-01-13,2024-01-13,Ticketmelon
 Sinful House Presents - The.Chao.Phraya - Swinger Lifestyle Cruise,Asiatique The Riverfront,2024-01-13,2024-01-13,Ticketmelon
𝔖hape𝔖hifter :L͓̽C͓̽L͓̽: NEMATOCYST : FITNESSS,Unformat Studio,2024-01-13,2024-01-13,Ticketmelon
Enchanted VIP ,Differ Club Pattaya,2024-01-13,2024-01-13,Ticketmelon
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,2024-01-14,2024-01-14,Ticketmelon
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,2024-01-14,2024-01-14,Ticketmelon
Selina & Sirinya Live in Bangkok 2024 ,BACC,2024-01-16,2024-01-16,Ticketmelon
Tales and Tunes: Music from the Screen and Stage ,Goethe-Institut Thailand,2024-01-17,2024-01-17,Ticketmelon
Ligor Spirit Festival 2024,Greenspace Living ,2024-01-18,2024-01-21,Ticketmelon
SISB Fest,SISB,2024-01-19,2024-01-19,Ticketmelon
LA Festival 7 (Love Disadster),"Faculty of Liberal Arts, Mahidol University ",2024-01-19,2024-01-19,Ticketmelon
Jey (Jung Jinhyeong) in Bangkok ,Lido Connect Hall 2,2024-01-19,2024-01-19,Ticketmelon
Out Of The World Water & Music Festival 2.0,"KL BASE, SUNGAI BESI",2024-01-19,2024-01-21,Ticketmelon
Phangan ROCKFEST 2024,Phangan Rock Place,2024-01-19,2024-01-27,Ticketmelon
The Journey of Kati’s Happiness 20 ปี การเดินทางของความสุขไม่รู้จบ,ลานริมน้ำ บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),2024-01-20,2024-01-20,Ticketmelon
Lopburi Music Festival ลพบุรี มิวสิค เฟสติวัล,เขาโด่ ตำบลนิคมสร้างตนเอง อำเภอเมือง จังหวัดลพบุรี,2024-01-20,2024-01-20,Ticketmelon
INSOMNIA LIVE IN SALAYA 2024,มหิดล ศาลายา,2024-01-20,2024-01-20,Ticketmelon
COME BACK ANYTIME Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-01-20,2024-01-20,Ticketmelon
0WAVE in Bangkok,Lido Connect Hall 2,2024-01-20,2024-01-20,Ticketmelon
เฟี้ยวติวัล เชียงราย,ลานกาสะลอง 2 เซ็นทรัลเชียงราย,2024-01-20,2024-01-20,Ticketmelon
เฟี้ยวติวัล 2024,10 จังหวัด 10 สถานที่,2024-01-20,2024-05-19,Ticketmelon
Gathering in the glen : ซักแดด,ทุ่งเลี้ยงควายลุงตา,2024-01-21,2024-01-21,Ticketmelon
KUNSTLER : The Public 26 JAN 24,SERMSUK WAREHOUSE,2024-01-26,2024-01-26,Ticketmelon
เฟี้ยวติวัล อุดรธานี,ลานเดอะแลนด์ ศูนย์การค้ายูดี ทาวน์ อุดรธานี,2024-01-26,2024-01-26,Ticketmelon
KLWP 3.0,KL BASE SG BESI,2024-01-26,2024-01-27,Ticketmelon
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",2024-01-26,2024-01-28,Ticketmelon
BEATFOREST 2024,Bonanza,2024-01-27,2024-01-27,Ticketmelon
KUNSTLER : The Public 27 JAN 24,SERMSUK WAREHOUSE,2024-01-27,2024-01-27,Ticketmelon
FORREST GUMP Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-01-27,2024-01-27,Ticketmelon
"🌟 Moon Rock Festival: 3 Days of Music, Camping, and Seaside Bliss! 🚀🏕️🌊",MoonRock,2024-01-27,2024-01-29,Ticketmelon
COMBUST (NYHC) Live in Bangkok 28.01.2024,BLUEPRINT LIVEHOUSE,2024-01-28,2024-01-28,Ticketmelon
Unkonscious Boat Party 2024,Tappia Floating cafe - Pattaya,2024-01-30,2024-01-30,Ticketmelon
UnKonscious Festival 2024,Alexa Beach club,2024-01-30,2024-02-04,Ticketmelon
UnKonscious Festival 2024,Alexa Beach club,2024-01-30,2024-02-04,Ticketmelon
DOMI & JD BECK LIVE IN BANGKOK,Lido Connect,2024-01-31,2024-01-31,Ticketmelon
Jumpstart Festival ,Sepang International Circuit,2024-02-02,2024-02-03,Ticketmelon
Mystic Valley 2024,Mountain Creek Golf Resort,2024-02-02,2024-02-04,Ticketmelon
ซิตสถาน 3 FEB,sermsuk warehouse,2024-02-03,2024-02-03,Ticketmelon
BEER! A LOVE STORY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-02-03,2024-02-03,Ticketmelon
COMEEARS PRESENT TENDRE LIVE IN BANGKOK,Lido Connect ,2024-02-03,2024-02-03,Ticketmelon
UnKonscious Knock Out,New Lumpinee Boxing Stadium,2024-02-03,2024-02-04,Ticketmelon
SENSE Psychedelic Gathering 2024,koh taen,2024-02-03,2024-02-06,Ticketmelon
ซิตสถาน 4 FEB,sermsuk warehouse,2024-02-04,2024-02-04,Ticketmelon
Klash of the titans : Kreator and In flames live in Bangkok,The street รัชดา,2024-02-07,2024-02-07,Ticketmelon
STICK TO YOUR GUNS Live in Bangkok 09.02.2024,MR.FOX LIVEHOUSE,2024-02-09,2024-02-09,Ticketmelon
SCRUBB LIVE IN MANILA,123 BLOCK MANDALA PARK,2024-02-10,2024-02-10,Ticketmelon
BEFORE SUNRISE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-02-10,2024-02-10,Ticketmelon
เฟี้ยวติวัล นครราชสีมา,ลานห้างโกลบอลเฮ้าส์,2024-02-10,2024-02-10,Ticketmelon
Leaf & Rhyme II,Baimai Activity Space,2024-02-10,2024-02-11,Ticketmelon
NOTTING HILL Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-02-14,2024-02-14,Ticketmelon
เฟี้ยวติวัล สงขลา,โรงเรียนสอนขับรถ หาดใหญ่คาร์เทรนเนอร์,2024-02-17,2024-02-17,Ticketmelon
THE MODERN NOSTALGIA TOUR : LIVE IN BANGKOK,BCC Hall เซ็นทรัล ลาดพร้าว,2024-02-20,2024-02-20,Ticketmelon
An Evening With James Bond 007,FCCThai Clubhouse,2024-02-23,2024-02-23,Ticketmelon
NOVO AMOR Live In Bangkok 2024,Lido Connect,2024-02-29,2024-02-29,Ticketmelon
PELUPO 2024,"The Fields, Siam Country Club, Pattaya",2024-03-01,2024-03-02,Ticketmelon
Subculture Thailand 2024 - Weekender,Bangkok,2024-03-01,2024-03-03,Ticketmelon
Subculture Thailand 2024 - Weekender,Bangkok,2024-03-01,2024-03-03,Ticketmelon
SUPALAPA Festival,"Resorts World Awana, Genting Highlands, Malaysia",2024-03-02,2024-03-03,Ticketmelon
เฟี้ยวติวัล ชลบุรี,ตลาดนัดจตุจักชลบุรี,2024-03-09,2024-03-09,Ticketmelon
Citizen Live In Bangkok 2024,Mr.fox,2024-03-10,2024-03-10,Ticketmelon
SLASH featuring Myles Kennedy Live in Bangkok,CENTERPOINT STUDIO,2024-03-15,2024-03-15,Ticketmelon
เฟี้ยวติวัล เชียงใหม่,ลานม่วนใจ๋ 2 / เซ็นทรัลเชียงใหม่แอร์พอต,2024-03-23,2024-03-23,Ticketmelon
Southside Festival,Andamanda Phuket,2024-03-30,2024-03-30,Ticketmelon
เฟี้ยวติวัล นครปฐม,ตลาดนัดเครื่องบิน ,2024-03-30,2024-03-30,Ticketmelon
Splash Pool Party,สวนน้ำ The Mall Korat,2024-04-13,2024-04-16,Ticketmelon
เฟี้ยวติวัล บุรีรัมย์,สนามช้างอารีน่า,2024-04-27,2024-04-27,Ticketmelon
PONG 47 ปี Rock Never Dies,IMPACT ARENA เมืองทองธานี,2024-04-27,2024-04-27,Ticketmelon
เฟี้ยวติวัล ขอนแก่น,ศูนย์ค้าส่งอู้ฟู่ ,2024-05-11,2024-05-11,Ticketmelon
เฟี้ยวติวัล กรุงเทพฯ,ลานตะวันนา 2,2024-05-19,2024-05-19,Ticketmelon
