title,location,startdate,enddate,vendor
0WAVE in Bangkok,Lido Connect Hall 2,2024-01-20,2024-01-20,Ticketmelon
เฟี้ยวติวัล เชียงราย,ลานกาสะลอง 2 เซ็นทรัลเชียงราย,2024-01-20,2024-01-20,Ticketmelon
Blueprint Livehouse: SeventhSyndrome,Blueprint Livehouse,2024-01-20,2024-01-20,Ticketmelon
NON NON NON w/ Alex Wilcox,469 Phrasumen Rd.,2024-01-20,2024-01-20,Ticketmelon
Retox Sessions Presents James Hype At Onyx ,Onyx,2024-01-20,2024-01-20,Ticketmelon
Urban Music Festival, fortune tower,2024-01-20,2024-01-20,The Concert
ON GREEN MUSIC FESTIVAL, ESC PARK RANGSIT,2024-01-20,2024-01-20,The Concert
คลั่งรัก, Union Mall Hall 1,2024-01-20,2024-01-20,The Concert
เฟี้ยวติวัล 2024,10 จังหวัด 10 สถานที่,2024-01-20,2024-05-19,Ticketmelon
Gathering in the glen : ซักแดด,ทุ่งเลี้ยงควายลุงตา,2024-01-21,2024-01-21,Ticketmelon
Blueprint Livehouse: Outside The Window + Barber Dead + MANA’,Blueprint Livehouse,2024-01-21,2024-01-21,Ticketmelon
GasolineSrinakarin PRESENT ไททศมิตร, Gasoline Bar - Srinakarin,2024-01-23,2024-01-23,The Concert
LAN DOK MAI ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2024-01-25,2024-01-25,Ticketmelon
Blueprint Livehouse: Uncle Ben + Ewery,Blueprint Livehouse,2024-01-25,2024-01-25,Ticketmelon
KUNSTLER : The Public 26 JAN 24,SERMSUK WAREHOUSE,2024-01-26,2024-01-26,Ticketmelon
เฟี้ยวติวัล อุดรธานี,ลานเดอะแลนด์ ศูนย์การค้ายูดี ทาวน์ อุดรธานี,2024-01-26,2024-01-26,Ticketmelon
Retox Sessions Presents Joseph Capriati ,EDEN,2024-01-26,2024-01-26,Ticketmelon
"Séxstasy, Dill Pickles / Veshalka",A Blanket & A Pillow,2024-01-26,2024-01-26,Ticketmelon
KLWP 3.0,KL BASE SG BESI,2024-01-26,2024-01-27,Ticketmelon
Thailand International Jazz Conference 2024,"College of Music, Mahidol University",2024-01-26,2024-01-28,Ticketmelon
BEATFOREST 2024,Bonanza,2024-01-27,2024-01-27,Ticketmelon
KUNSTLER : The Public 27 JAN 24,SERMSUK WAREHOUSE,2024-01-27,2024-01-27,Ticketmelon
FORREST GUMP Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-01-27,2024-01-27,Ticketmelon
Blueprint Livehouse: Soft Pine + Chucky Factory Land,Blueprint Livehouse,2024-01-27,2024-01-27,Ticketmelon
“barenbliss PRESENTS GO WENT GAME WITH COPTER FANMEET”, LIDO Connect Hall 2,2024-01-27,2024-01-27,The Concert
HEAVY METAL 'TIL I DIE, The Rock Pub,2024-01-27,2024-01-27,The Concert
"🌟 Moon Rock Festival: 3 Days of Music, Camping, and Seaside Bliss! 🚀🏕️🌊",MoonRock,2024-01-27,2024-01-29,Ticketmelon
"""Bake Me Please พิชิตใจนายสายหวาน” Special EP. Fan Meeting",Major Ratchayothin Theatre 13,2024-01-28,2024-01-28,Ticketmelon
COMBUST (NYHC) Live in Bangkok 28.01.2024,BLUEPRINT LIVEHOUSE,2024-01-28,2024-01-28,Ticketmelon
La La Tell,Tell MUSIC BAR,2024-01-28,2024-01-28,Ticketmelon
Fellow Fellow Live at Underdog (Full set), Underdog Micro Brewery,2024-01-28,2024-01-28,The Concert
Unkonscious Boat Party 2024,Tappia Floating cafe - Pattaya,2024-01-30,2024-01-30,Ticketmelon
Blueprint Livehouse: The Jukks + Common People Like You + Telellama,Blueprint Livehouse,2024-01-30,2024-01-30,Ticketmelon
UnKonscious Festival 2024,Alexa Beach club,2024-01-30,2024-02-04,Ticketmelon
UnKonscious Festival 2024,Alexa Beach club,2024-01-30,2024-02-04,Ticketmelon
DOMI & JD BECK LIVE IN BANGKOK,Lido Connect,2024-01-31,2024-01-31,Ticketmelon
Blueprint Livehouse: The Reasonabilists + pOd + A lyrnn,Blueprint Livehouse,2024-01-31,2024-01-31,Ticketmelon
DOMI & JD BECK LIVE IN BANGKOK,Lido Connect,2024-01-31,2024-01-31,Ticketmelon
R.E.D. WANNASOK, @THE BAZAAR RATCHADAPHISEK (MRT/BTS Yellow Line ลาดพร้าว),2024-02-01,2024-02-29,The Concert
Jumpstart Festival ,"Mines International Exhibition & Convention Centre, Jalan Dulang, Mines Wellness City, Seri Kembangan, Selangor, Malaysia",2024-02-02,2024-02-03,Ticketmelon
Mystic Valley 2024,Mountain Creek Golf Resort,2024-02-02,2024-02-04,Ticketmelon
Mystic Valley 2024,Mountain Creek Golf Resort,2024-02-02,2024-02-04,Ticketmelon
Miss Tiffany 25th The Future Is Yours,Tiffany's Show Pattaya,2024-02-02,2024-02-04,Ticketmelon
Pixela Isekai Idol On Stage,Union mall,2024-02-03,2024-02-03,Ticketmelon
ซิตสถาน 3 FEB,sermsuk warehouse,2024-02-03,2024-02-03,Ticketmelon
BEER! A LOVE STORY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-02-03,2024-02-03,Ticketmelon
COMEEARS PRESENT TENDRE LIVE IN BANGKOK,Lido Connect ,2024-02-03,2024-02-03,Ticketmelon
ROAD FOR LIFE EP.2 : วิถีเพื่อชีวิต, ลานกิจกรรมเขาใหญ่มาราธอน ถนนธนะรัชต์ กม.21,2024-02-03,2024-02-03,The Concert
UNK Presents KNOCK OUT FESTIVAL," New Lumipini Thai Boxing Stadium, Bangkok",2024-02-03,2024-02-03,The Concert
CHUNN PLAY EP.7 : The Secret House Party, CHUNNPLAY - ฉันเพล,2024-02-03,2024-02-03,The Concert
UnKonscious Knock Out,New Lumpinee Boxing Stadium,2024-02-03,2024-02-04,Ticketmelon
SENSE Psychedelic Gathering 2024,koh taen,2024-02-03,2024-02-06,Ticketmelon
SENSE Psychedelic Gathering tent renting ,koh taen,2024-02-03,2024-02-06,Ticketmelon
ซิตสถาน 4 FEB,sermsuk warehouse,2024-02-04,2024-02-04,Ticketmelon
After Party - A bid farewell to UNK24., EDEN CLUB Bangkok,2024-02-04,2024-02-04,The Concert
Bangkok Electronic Week, Skyview Hotel,2024-02-04,2024-02-11,The Concert
LOMOSONIC ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2024-02-06,2024-02-06,Ticketmelon
Klash of the titans : Kreator and In flames live in Bangkok,Center point entertainment,2024-02-07,2024-02-07,Ticketmelon
Sax d'Amour,Tell MUSIC BAR,2024-02-07,2024-02-07,Ticketmelon
STICK TO YOUR GUNS Live in Bangkok 09.02.2024,MR.FOX LIVEHOUSE,2024-02-09,2024-02-09,Ticketmelon
SCRUBB LIVE IN MANILA,123 BLOCK MANDALA PARK,2024-02-10,2024-02-10,Ticketmelon
"Somthip Music Festival, ส้มทิพย์ มิวสิค เฟสติวัล",ลานสนามหญ้า เครื่องบินบังคับเดอะนาย (THE9) อ.เมือง จ.ราชบุรี (ติดถนนบายพาสราชบุรี),2024-02-10,2024-02-10,Ticketmelon
ASAI x Macrame By Nicha: A Chinese New Year Workshop,ASAI Bangkok Chinatown,2024-02-10,2024-02-10,Ticketmelon
Do You Hear The People Sing?,Lido Connect,2024-02-10,2024-02-10,Ticketmelon
BEFORE SUNRISE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-02-10,2024-02-10,Ticketmelon
เฟี้ยวติวัล นครราชสีมา,ลานห้างโกลบอลเฮ้าส์,2024-02-10,2024-02-10,Ticketmelon
งานแคทเชียงใหม่, เซ็นทรัล เชียงใหม่ แอร์พอร์ต,2024-02-10,2024-02-10,The Concert
มาม่า Presents กาลครั้งเจ็ด หนีกรุง TO THE UNIVERSE, Wisdom Valley เขาไม้แก้วพัทยา,2024-02-10,2024-02-10,The Concert
MEEN PING TO MY DEAR FAN MEETING, Centerpoint Studio,2024-02-10,2024-02-10,The Concert
หนัดเพื่อชีWeed 10 ก.พ. - วอทฟอลซ์, ChangChui,2024-02-10,2024-02-10,The Concert
Leaf & Rhyme II,Baimai Activity Space,2024-02-10,2024-02-11,Ticketmelon
โฟล์คข้างวัด 4, พรพนาค้าไม้ อ.บางบาล จ.พระนครศรีอยุธยา,2024-02-10,2024-02-11,The Concert
ส้มทิพย์ มิวสิค เฟสติวัล, ลานสนามหญ้าเครื่องบินบังคับเดอะนาย(THE9) อ.เมือง จ.ราชบุรี (ติดถนนบายพาสราชบุรี),2024-02-10,2024-02-11,The Concert
เวิร์คช้อป SELF Tarot Reading,River City Bangkok ,2024-02-11,2024-02-11,Ticketmelon
Siam Sinfonietta’s Valentine Concert: Romeo and Juliet,Banyan Tree - Grand Ballroom,2024-02-11,2024-02-11,Ticketmelon
NOTTING HILL Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-02-14,2024-02-14,Ticketmelon
แพทยศาสตร์การดนตรีครั้งที่ 6,ศาลาอ่างแก้ว,2024-02-17,2024-02-17,Ticketmelon
Anti-Valentines Valentines Club,decommune,2024-02-17,2024-02-17,Ticketmelon
เฟี้ยวติวัล สงขลา,โรงเรียนสอนขับรถ หาดใหญ่คาร์เทรนเนอร์,2024-02-17,2024-02-17,Ticketmelon
THE MODERN NOSTALGIA TOUR : LIVE IN BANGKOK,BCC Hall เซ็นทรัล ลาดพร้าว,2024-02-20,2024-02-20,Ticketmelon
FREEHAND ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2024-02-22,2024-02-22,Ticketmelon
An Evening With James Bond -- 007,FCCThai Clubhouse,2024-02-23,2024-02-23,Ticketmelon
CosCos Suki #10,Westgate Hall,2024-02-25,2024-02-25,Ticketmelon
The Poison Love : กุหลาบกาลี,โรงละครเฉลิมพระเกียรติ มหาวิทยาลัยนเรศวร,2024-02-25,2024-02-26,Ticketmelon
NOVO AMOR Live In Bangkok 2024,Lido Connect,2024-02-29,2024-02-29,Ticketmelon
Subculture Thailand 2024 - Weekender,Bangkok,2024-03-01,2024-03-03,Ticketmelon
คลับ เฮ้าท์ พรีเซ้นท์ อาร์. โอ. เอ็กซ์ เฟส 2024, สวนละไม จังหวัด ระยอง,2024-03-02,2024-03-02,The Concert
Oasis Tribute #8, DECOMMUNE,2024-03-02,2024-03-02,The Concert
SUPALAPA Festival,"Resorts World Awana, Genting Highlands, Malaysia",2024-03-02,2024-03-03,Ticketmelon
บอกรัก 2, พัทยา ลานกิจกรรมริมนาแปดริ้ว,2024-03-02,2024-03-03,The Concert
[ADDITIONAL SHOW] Wave To Earth: The First Era Concert.,Zepp Kuala Lumpur,2024-03-03,2024-03-03,Ticketmelon
World of Dance Thailand 2024,"Asok Montri Music and Performing Art Hall โรงละครอโศกมนตรีนาฏยศาลา ม.ศรีนครินทร์วิโรจน์ (ประสานมิตร) Bangkok,Thailand",2024-03-09,2024-03-09,Ticketmelon
เฟี้ยวติวัล ชลบุรี,ตลาดนัดจตุจักชลบุรี,2024-03-09,2024-03-09,Ticketmelon
เต้นรำครั้งสุดท้าย THE YERS FAREWELL CONCERT ทุกบทเพลงจะถูกบรรเลง...เป็นครั้งสุดท้าย, Thunder Dome,2024-03-09,2024-03-09,The Concert
Citizen Live In Bangkok 2024,Mr.fox,2024-03-10,2024-03-10,Ticketmelon
เม้ก อภิสิทธิ์ X วงนิยม Live at Acetylene อุบลราชธานี, Acetylene อะเซทีลีน,2024-03-11,2024-03-11,The Concert
SLASH featuring Myles Kennedy Live in Bangkok,CENTERPOINT STUDIO,2024-03-15,2024-03-15,Ticketmelon
หนัดเพื่อชีWeed 16 มี.ค. - Hugo, ChangChui,2024-03-16,2024-03-16,The Concert
เฟี้ยวติวัล เชียงใหม่,ลานม่วนใจ๋ 2 / เซ็นทรัลเชียงใหม่แอร์พอต,2024-03-23,2024-03-23,Ticketmelon
Brotherhood Brutality - 10 Years Anniversary ,Mr Fox Livehouse ,2024-03-24,2024-03-24,Ticketmelon
GB LIVE RITUAL 2024,Blueprint Live House ,2024-03-30,2024-03-30,Ticketmelon
Southside Festival,Andamanda Phuket,2024-03-30,2024-03-30,Ticketmelon
Suffocation & Gatecreeper Live in Manila,Eastside Sandugo,2024-03-30,2024-03-30,Ticketmelon
เฟี้ยวติวัล นครปฐม,ตลาดนัดเครื่องบิน ,2024-03-30,2024-03-30,Ticketmelon
งานแคทขอนแก่น, ศูนย์ประชุมฯ ไคซ์,2024-03-30,2024-03-30,The Concert
หนัดเพื่อชีWeed 6 เม.ย - คณะขวัญใจ, ChangChui,2024-04-06,2024-04-06,The Concert
Splash Pool Party,สวนน้ำ The Mall Korat,2024-04-13,2024-04-16,Ticketmelon
เฟี้ยวติวัล บุรีรัมย์,สนามช้างอารีน่า,2024-04-27,2024-04-27,Ticketmelon
PONG 47 ปี Rock Never Dies,IMPACT ARENA เมืองทองธานี,2024-04-27,2024-04-27,Ticketmelon
Cat มือที่สอง," MCC HALL, THE MALL LIFESTORE BANGKAPI",2024-04-28,2024-04-28,The Concert
หนัดเพื่อชีWeed 4 พค. - ไววิทย์, ChangChui,2024-05-04,2024-05-04,The Concert
เฟี้ยวติวัล ขอนแก่น,ศูนย์ค้าส่งอู้ฟู่ ,2024-05-11,2024-05-11,Ticketmelon
เฟี้ยวติวัล กรุงเทพฯ,ลานตะวันนา 2,2024-05-19,2024-05-19,Ticketmelon
หนัดเพื่อชีWeed 1 มิ.ย. - Greasy Cafe, ChangChui,2024-06-01,2024-06-01,The Concert
LONGLAY BEACH LIFE FESTIVAL 2024, Diamond Beach (Longlay Beach),2024-12-01,2024-12-31,The Concert
